config,alpha,SECI,SECI_se,AECI-Var,AECI-Var_se,AECI-Err,AECI-Err_se,MAE,MAE_se,Unmet,Unmet_se,Precision,Precision_se
baseline,0.0,-0.24596,0.0233614,-0.267002,0.0281532,-0.0406281,0.0189329,1.28082,0.0282795,1.69533,1.55701,0.706374,0.0282488
baseline,0.1,-0.229443,0.0245182,-0.27452,0.0282229,-0.047371,0.0182028,1.27875,0.0276927,1.878,1.77742,0.709885,0.0272319
baseline,0.2,-0.221829,0.023482,-0.2433,0.0270727,-0.0381609,0.0193162,1.27955,0.0263104,1.25933,1.32483,0.712943,0.0276849
baseline,0.3,-0.219856,0.0283232,-0.258146,0.0259594,-0.0131924,0.0161916,1.31284,0.029406,0.956,1.12754,0.712496,0.0285791
baseline,0.4,-0.204172,0.0286139,-0.234137,0.0309817,-0.0183899,0.014133,1.32672,0.0278586,0.795333,0.952656,0.708847,0.0283833
baseline,0.5,-0.216835,0.027113,-0.218223,0.025627,-0.0318921,0.016748,1.44127,0.0275158,0.528,0.698009,0.702532,0.0268518
baseline,0.6,-0.195225,0.0302164,-0.232758,0.0287947,-0.0402648,0.0193874,1.50657,0.0258295,0.874,0.846024,0.68916,0.0277175
baseline,0.7,-0.161226,0.0335771,-0.169342,0.0307914,-0.0411393,0.0187436,1.53871,0.0279833,0.787333,1.02525,0.703815,0.0305509
baseline,0.8,-0.16062,0.0375775,-0.181165,0.0307561,-0.0490299,0.0214775,1.72519,0.0262693,2.53933,1.85284,0.623148,0.0343829
baseline,0.9,-0.15036,0.0432352,-0.165238,0.0315478,0.0372983,0.0294508,1.94292,0.030763,10.98,3.12778,0.211681,0.0370243
baseline,1.0,-0.133426,0.0370209,-0.160478,0.0308638,0.0396232,0.0311206,1.96957,0.027754,11.15,2.7823,0.220771,0.0382983
switches,0.0,-0.228082,0.0243454,-0.25385,0.0250857,-0.0248077,0.0176508,1.20073,0.030065,1.10933,1.08926,0.768008,0.0230014
switches,0.1,-0.209721,0.02656,-0.245461,0.0248427,-0.0264885,0.0175863,1.19199,0.0309888,1.082,1.15097,0.780274,0.0242192
switches,0.2,-0.200297,0.0271089,-0.221815,0.0243677,-0.0214273,0.0161131,1.19881,0.0319501,1.04667,1.13539,0.777241,0.0245442
switches,0.3,-0.210566,0.027692,-0.206661,0.0271685,-0.0107319,0.0173278,1.22171,0.0312037,0.768667,1.08308,0.781905,0.0228513
switches,0.4,-0.189205,0.0296696,-0.18166,0.0260031,-0.021338,0.0156088,1.24957,0.0314164,0.482667,0.762144,0.780031,0.0237629
switches,0.5,-0.212999,0.0275266,-0.15657,0.0215957,0.00290643,0.0184037,1.33598,0.033305,0.422,0.674954,0.783644,0.024394
switches,0.6,-0.205762,0.0314529,-0.141774,0.0265129,-0.024913,0.019768,1.37623,0.0311038,0.516,0.685968,0.782315,0.02335
switches,0.7,-0.229966,0.0365898,-0.183354,0.0262534,-0.0229701,0.0171036,1.41558,0.0307638,0.556,0.829178,0.760811,0.0264757
switches,0.8,-0.240271,0.040155,-0.122127,0.0290479,-0.0369504,0.0218334,1.60967,0.0367954,0.964667,1.03127,0.720435,0.0301289
switches,0.9,-0.316042,0.0508429,-0.140062,0.0382644,0.0495894,0.0281405,1.78874,0.0428982,3.242,2.86904,0.51328,0.0516041
switches,1.0,-0.315583,0.0554674,-0.135392,0.0355327,0.0336577,0.0271022,1.81344,0.0438001,3.64867,2.63417,0.497074,0.0536102
